sent nr	newsent nr	token nr	token	true	pred
9	10	12	;	O	O
9	10	13	``	O	O
9	10	14	some	O	O
9	10	15	underlying	O	O
9	10	16	suggestion	O	O
9	10	17	of	O	O
9	10	18	the	O	O
9	10	19	tragic	O	O
9	10	20	and	O	O
9	10	21	the	O	O
9	10	22	terrible	O	O
9	10	23	.	O	O
10	11	0	If	O	O
10	11	1	you	O	O
10	11	2	cast	O	O
10	11	3	your	O	O
10	11	4	mind	O	O
10	11	5	back	O	O
10	11	6	to	O	O
10	11	7	some	O	O
10	11	8	of	O	O
10	11	9	those	O	O
10	11	10	narratives	O	O
10	11	11	with	O	O
10	11	12	which	O	O
10	11	13	you	O	O
10	11	14	have	O	O
10	11	15	afflicted	O	O
10	11	16	a	O	O
10	11	17	long-suffering	O	O
10	11	18	public	O	O
10	11	19	,	O	O
10	11	20	you	O	O
10	11	21	will	O	O
10	11	22	recognize	O	O
10	11	23	how	O	O
10	11	24	often	O	O
10	11	25	the	O	O
10	11	26	grotesque	O	O
10	11	27	has	O	O
10	11	28	deepened	O	O
10	11	29	into	O	O
10	11	30	the	O	O
10	11	31	criminal	O	O
10	11	32	.	O	O
11	12	0	Think	O	O
11	12	1	of	O	O
11	12	2	that	O	O
11	12	3	little	O	O
11	12	4	affair	O	O
11	12	5	of	O	O
11	12	6	the	O	O
11	12	7	red-headed	O	O
11	12	8	men	O	O
11	12	9	.	O	O
12	13	0	That	O	O
12	13	1	was	O	O
12	13	2	grotesque	O	O
12	13	3	enough	O	O
12	13	4	in	O	O
12	13	5	the	O	O
12	13	6	outset	O	O
12	13	7	,	O	O
12	13	8	and	O	O
12	13	9	yet	O	O
12	13	10	it	O	O
12	13	11	ended	O	O
12	13	12	in	O	O
12	13	13	a	O	O
12	13	14	desperate	O	O
12	13	15	attempt	O	O
12	13	16	at	O	O
12	13	17	robbery	O	O
12	13	18	.	O	O
13	14	0	Or	O	O
13	14	1	,	O	O
13	14	2	again	O	O
13	14	3	,	O	O
13	14	4	there	O	O
13	14	5	was	O	O
13	14	6	that	O	O
13	14	7	most	O	O
13	14	8	grotesque	O	O
13	14	9	affair	O	O
13	14	10	of	O	O
13	14	11	the	O	O
13	14	12	five	O	O
13	14	13	orange	O	O
13	14	14	pips	O	O
13	14	15	,	O	O
13	14	16	which	O	O
13	14	17	led	O	O
13	14	18	straight	O	O
13	14	19	to	O	O
13	14	20	a	O	O
13	14	21	murderous	O	O
13	14	22	conspiracy	O	O
13	14	23	.	O	O
14	15	0	The	O	O
14	15	1	word	O	O
14	15	2	puts	O	O
14	15	3	me	O	O
14	15	4	on	O	O
14	15	5	the	O	O
14	15	6	alert	O	O
14	15	7	.	O	O
14	15	8	''	O	O
15	16	0	``	O	O
15	16	1	Have	O	O
15	16	2	you	O	O
15	16	3	it	O	O
15	16	4	there	O	O
15	16	5	?	O	O
15	16	6	''	O	O
15	16	7	I	O	O
15	16	8	asked	O	O
15	16	9	.	O	O
16	17	0	He	O	O
16	17	1	read	O	O
16	17	2	the	O	O
16	17	3	telegram	O	O
16	17	4	aloud	O	O
16	17	5	.	O	O
17	18	0	``	O	O
17	18	1	Have	O	O
17	18	2	just	O	O
17	18	3	had	O	O
17	18	4	most	O	O
17	18	5	incredible	O	B-NEG
17	18	6	and	O	O
17	18	7	grotesque	O	O
17	18	8	experience	O	O
17	18	9	.	O	O
18	19	0	May	O	O
18	19	1	I	O	O
18	19	2	consult	O	O
18	19	3	you	O	O
18	19	4	?	O	O
19	20	0	``	O	O
19	20	1	Scott	O	O
19	20	2	Eccles	O	O
19	20	3	,	O	O
20	21	0	``	O	O
20	21	1	Post	O	O
20	21	2	Office	O	O
20	21	3	,	O	O
20	21	4	Charing	O	O
20	21	5	Cross	O	O
20	21	6	.	O	O
20	21	7	''	O	O
21	22	0	``	O	O
21	22	1	Man	O	O
21	22	2	or	O	O
21	22	3	woman	O	O
21	22	4	?	O	O
21	22	5	''	O	O
21	22	6	I	O	O
21	22	7	asked	O	O
21	22	8	.	O	O
22	23	0	``	O	O
22	23	1	Oh	O	O
22	23	2	,	O	O
22	23	3	man	O	O
22	23	4	,	O	O
22	23	5	of	O	O
22	23	6	course	O	O
22	23	7	.	O	O
23	24	0	No	B-NEG	B-NEG
23	24	1	woman	O	O
23	24	2	would	O	O
23	24	3	ever	O	O
23	24	4	send	O	O
23	24	5	a	O	O
23	24	6	reply-paid	O	O
23	24	7	telegram	O	O
23	24	8	.	O	O
24	25	0	She	O	O
24	25	1	would	O	O
24	25	2	have	O	O
24	25	3	come	O	O
24	25	4	.	O	O
24	25	5	''	O	O
25	26	0	``	O	O
25	26	1	Will	O	O
25	26	2	you	O	O
25	26	3	see	O	O
25	26	4	him	O	O
25	26	5	?	O	O
25	26	6	''	O	O
26	27	0	``	O	O
26	27	1	My	O	O
26	27	2	dear	O	O
26	27	3	Watson	O	O
26	27	4	,	O	O
26	27	5	you	O	O
26	27	6	know	O	O
26	27	7	how	O	O
26	27	8	bored	O	O
26	27	9	I	O	O
26	27	10	have	O	O
26	27	11	been	O	O
26	27	12	since	O	O
26	27	13	we	O	O
26	27	14	locked	O	O
26	27	15	up	O	O
26	27	16	Colonel	O	O
26	27	17	Carruthers	O	O
26	27	18	.	O	O
27	28	0	My	O	O
27	28	1	mind	O	O
27	28	2	is	O	O
27	28	3	like	O	O
27	28	4	a	O	O
27	28	5	racing	O	O
27	28	6	engine	O	O
27	28	7	,	O	O
27	28	8	tearing	O	O
27	28	9	itself	O	O
27	28	10	to	O	O
27	28	11	pieces	O	O
27	28	12	because	O	O
27	28	13	it	O	O
27	28	14	is	O	O
27	28	15	not	B-NEG	B-NEG
27	28	16	connected	O	O
27	28	17	up	O	O
27	28	18	with	O	O
27	28	19	the	O	O
27	28	20	work	O	O
27	28	21	for	O	O
27	28	22	which	O	O
27	28	23	it	O	O
27	28	24	was	O	O
27	28	25	built	O	O
27	28	26	.	O	O
28	29	0	Life	O	O
28	29	1	is	O	O
28	29	2	commonplace	O	O
28	29	3	,	O	O
28	29	4	the	O	O
28	29	5	papers	O	O
28	29	6	are	O	O
28	29	7	sterile	O	O
28	29	8	;	O	O
28	29	9	audacity	O	O
28	29	10	and	O	O
28	29	11	romance	O	O
28	29	12	seem	O	O
28	29	13	to	O	O
28	29	14	have	O	O
28	29	15	passed	O	O
28	29	16	forever	O	O
28	29	17	from	O	O
28	29	18	the	O	O
28	29	19	criminal	O	O
28	29	20	world	O	O
28	29	21	.	O	O
29	30	0	Can	O	O
29	30	1	you	O	O
29	30	2	ask	O	O
29	30	3	me	O	O
29	30	4	,	O	O
29	30	5	then	O	O
29	30	6	,	O	O
29	30	7	whether	O	O
29	30	8	I	O	O
29	30	9	am	O	O
29	30	10	ready	O	O
29	30	11	to	O	O
29	30	12	look	O	O
29	30	13	into	O	O
29	30	14	any	O	O
29	30	15	new	O	O
29	30	16	problem	O	O
29	30	17	,	O	O
29	30	18	however	O	O
29	30	19	trivial	O	O
29	30	20	it	O	O
29	30	21	may	O	O
29	30	22	prove	O	O
29	30	23	?	O	O
30	31	0	But	O	O
30	31	1	here	O	O
30	31	2	,	O	O
30	31	3	unless	O	O
30	31	4	I	O	O
30	31	5	am	O	O
30	31	6	mistaken	O	O
30	31	7	,	O	O
30	31	8	is	O	O
30	31	9	our	O	O
30	31	10	client	O	O
30	31	11	.	O	O
30	31	12	''	O	O
31	32	0	A	O	O
31	32	1	measured	O	O
31	32	2	step	O	O
31	32	3	was	O	O
31	32	4	heard	O	O
31	32	5	upon	O	O
31	32	6	the	O	O
31	32	7	stairs	O	O
31	32	8	,	O	O
31	32	9	and	O	O
31	32	10	a	O	O
31	32	11	moment	O	O
31	32	12	later	O	O
31	32	13	a	O	O
31	32	14	stout	O	O
31	32	15	,	O	O
31	32	16	tall	O	O
31	32	17	,	O	O
31	32	18	gray-whiskered	O	O
31	32	19	and	O	O
31	32	20	solemnly	O	O
31	32	21	respectable	O	O
31	32	22	person	O	O
31	32	23	was	O	O
31	32	24	ushered	O	O
31	32	25	into	O	O
31	32	26	the	O	O
31	32	27	room	O	O
31	32	28	.	O	O
32	33	0	His	O	O
32	33	1	life	O	O
32	33	2	history	O	O
32	33	3	was	O	O
32	33	4	written	O	O
32	33	5	in	O	O
32	33	6	his	O	O
32	33	7	heavy	O	O
32	33	8	features	O	O
32	33	9	and	O	O
32	33	10	pompous	O	O
32	33	11	manner	O	O
32	33	12	.	O	O
33	34	0	From	O	O
33	34	1	his	O	O
33	34	2	spats	O	O
33	34	3	to	O	O
33	34	4	his	O	O
33	34	5	gold-rimmed	O	O
33	34	6	spectacles	O	O
33	34	7	he	O	O
33	34	8	was	O	O
33	34	9	a	O	O
33	34	10	Conservative	O	O
33	34	11	,	O	O
33	34	12	a	O	O
33	34	13	churchman	O	O
33	34	14	,	O	O
33	34	15	a	O	O
33	34	16	good	O	O
33	34	17	citizen	O	O
33	34	18	,	O	O
33	34	19	orthodox	O	O
33	34	20	and	O	O
33	34	21	conventional	O	O
33	34	22	to	O	O
33	34	23	the	O	O
33	34	24	last	O	O
33	34	25	degree	O	O
33	34	26	.	O	O
34	35	0	But	O	O
34	35	1	some	O	O
34	35	2	amazing	O	O
34	35	3	experience	O	O
34	35	4	had	O	O
34	35	5	disturbed	O	O
34	35	6	his	O	O
34	35	7	native	O	O
34	35	8	composure	O	O
34	35	9	and	O	O
34	35	10	left	O	O
34	35	11	its	O	O
34	35	12	traces	O	O
34	35	13	in	O	O
34	35	14	his	O	O
34	35	15	bristling	O	O
34	35	16	hair	O	O
34	35	17	,	O	O
34	35	18	his	O	O
34	35	19	flushed	O	O
34	35	20	,	O	O
34	35	21	angry	O	O
34	35	22	cheeks	O	O
34	35	23	,	O	O
34	35	24	and	O	O
34	35	25	his	O	O
34	35	26	flurried	O	O
34	35	27	,	O	O
34	35	28	excited	O	O
34	35	29	manner	O	O
34	35	30	.	O	O
35	36	0	He	O	O
35	36	1	plunged	O	O
35	36	2	instantly	O	O
35	36	3	into	O	O
35	36	4	his	O	O
35	36	5	business	O	O
35	36	6	.	O	O
36	37	0	``	O	O
36	37	1	I	O	O
36	37	2	have	O	O
36	37	3	had	O	O
36	37	4	a	O	O
36	37	5	most	O	O
36	37	6	singular	O	O
36	37	7	and	O	O
36	37	8	unpleasant	B-NEG	B-NEG
36	37	9	experience	O	O
36	37	10	,	O	O
36	37	11	Mr.	O	O
36	37	12	Holmes	O	O
36	37	13	,	O	O
36	37	14	''	O	O
36	37	15	said	O	O
36	37	16	he	O	O
36	37	17	.	O	O
37	38	0	``	O	O
37	38	1	Never	B-NEG	B-NEG
37	38	2	in	O	O
37	38	3	my	O	O
37	38	4	life	O	O
37	38	5	have	O	O
37	38	6	I	O	O
37	38	7	been	O	O
37	38	8	placed	O	O
37	38	9	in	O	O
37	38	10	such	O	O
37	38	11	a	O	O
37	38	12	situation	O	O
37	38	13	.	O	O
38	39	0	It	O	O
38	39	1	is	O	O
38	39	2	most	O	O
38	39	3	improper	B-NEG	B-NEG
38	39	4	--	O	O
38	39	5	most	O	O
38	39	6	outrageous	O	O
38	39	7	.	O	O
39	40	0	I	O	O
39	40	1	must	O	O
39	40	2	insist	O	O
39	40	3	upon	O	O
39	40	4	some	O	O
39	40	5	explanation	O	O
39	40	6	.	O	O
39	40	7	''	O	O
40	41	0	He	O	O
40	41	1	swelled	O	O
40	41	2	and	O	O
40	41	3	puffed	O	O
40	41	4	in	O	O
40	41	5	his	O	O
40	41	6	anger	O	O
40	41	7	.	O	O
41	42	0	``	O	O
41	42	1	Pray	O	O
41	42	2	sit	O	O
41	42	3	down	O	O
41	42	4	,	O	O
41	42	5	Mr.	O	O
41	42	6	Scott	O	O
41	42	7	Eccles	O	O
41	42	8	,	O	O
41	42	9	''	O	O
41	42	10	said	O	O
41	42	11	Holmes	O	O
41	42	12	in	O	O
41	42	13	a	O	O
41	42	14	soothing	O	O
41	42	15	voice	O	O
41	42	16	.	O	O
42	43	0	``	O	O
42	43	1	May	O	O
42	43	2	I	O	O
42	43	3	ask	O	O
42	43	4	,	O	O
42	43	5	in	O	O
42	43	6	the	O	O
42	43	7	first	O	O
42	43	8	place	O	O
42	43	9	,	O	O
42	43	10	why	O	O
42	43	11	you	O	O
42	43	12	came	O	O
42	43	13	to	O	O
42	43	14	me	O	O
42	43	15	at	O	O
42	43	16	all	O	O
42	43	17	?	O	O
42	43	18	''	O	O
43	44	0	``	O	O
43	44	1	Well	O	O
43	44	2	,	O	O
43	44	3	sir	O	O
43	44	4	,	O	O
43	44	5	it	O	O
43	44	6	did	O	O
43	44	7	not	B-NEG	B-NEG
43	44	8	appear	O	O
43	44	9	to	O	O
43	44	10	be	O	O
43	44	11	a	O	O
43	44	12	matter	O	O
43	44	13	which	O	O
43	44	14	concerned	O	O
43	44	15	the	O	O
43	44	16	police	O	O
43	44	17	,	O	O
43	44	18	and	O	O
43	44	19	yet	O	O
43	44	20	,	O	O
43	44	21	when	O	O
43	44	22	you	O	O
43	44	23	have	O	O
43	44	24	heard	O	O
43	44	25	the	O	O
43	44	26	facts	O	O
43	44	27	,	O	O
43	44	28	you	O	O
43	44	29	must	O	O
43	44	30	admit	O	O
43	44	31	that	O	O
43	44	32	I	O	O
43	44	33	could	O	O
43	44	34	not	B-NEG	B-NEG
43	44	35	leave	O	O
43	44	36	it	O	O
43	44	37	where	O	O
43	44	38	it	O	O
43	44	39	was	O	O
43	44	40	.	O	O
44	45	0	Private	O	O
44	45	1	detectives	O	O
44	45	2	are	O	O
44	45	3	a	O	O
44	45	4	class	O	O
44	45	5	with	O	O
44	45	6	whom	O	O
44	45	7	I	O	O
44	45	8	have	O	O
44	45	9	absolutely	O	O
44	45	10	no	B-NEG	B-NEG
44	45	11	sympathy	O	O
44	45	12	,	O	O
44	45	13	but	O	O
44	45	14	none	O	B-NEG
44	45	15	the	O	O
44	45	16	less	O	O
44	45	17	,	O	O
44	45	18	having	O	O
44	45	19	heard	O	O
44	45	20	your	O	O
44	45	21	name	O	O
44	45	22	--	O	O
44	45	23	''	O	O
45	46	0	``	O	O
45	46	1	Quite	O	O
45	46	2	so	O	O
45	46	3	.	O	O
46	47	0	But	O	O
46	47	1	,	O	O
46	47	2	in	O	O
46	47	3	the	O	O
46	47	4	second	O	O
46	47	5	place	O	O
46	47	6	,	O	O
46	47	7	why	O	O
46	47	8	did	O	O
46	47	9	you	O	O
46	47	10	not	B-NEG	B-NEG
46	47	11	come	O	O
46	47	12	at	O	O
46	47	13	once	O	O
46	47	14	?	O	O
46	47	15	''	O	O
47	48	0	Holmes	O	O
47	48	1	glanced	O	O
47	48	2	at	O	O
47	48	3	his	O	O
47	48	4	watch	O	O
47	48	5	.	O	O
48	49	0	``	O	O
48	49	1	It	O	O
48	49	2	is	O	O
48	49	3	a	O	O
48	49	4	quarter-past	O	O
48	49	5	two	O	O
48	49	6	,	O	O
48	49	7	''	O	O
48	49	8	he	O	O
48	49	9	said	O	O
48	49	10	.	O	O
49	50	0	``	O	O
49	50	1	Your	O	O
49	50	2	telegram	O	O
49	50	3	was	O	O
49	50	4	dispatched	O	O
49	50	5	about	O	O
49	50	6	one	O	O
49	50	7	.	O	O
50	51	0	But	O	O
50	51	1	no	B-NEG	B-NEG
50	51	2	one	O	O
50	51	3	can	O	O
50	51	4	glance	O	O
50	51	5	at	O	O
50	51	6	your	O	O
50	51	7	toilet	O	O
50	51	8	and	O	O
50	51	9	attire	O	O
50	51	10	without	B-NEG	B-NEG
50	51	11	seeing	O	O
50	51	12	that	O	O
50	51	13	your	O	O
50	51	14	disturbance	O	O
50	51	15	dates	O	O
50	51	16	from	O	O
50	51	17	the	O	O
50	51	18	moment	O	O
50	51	19	of	O	O
50	51	20	your	O	O
50	51	21	waking	O	O
50	51	22	.	O	O
50	51	23	''	O	O
51	52	0	Our	O	O
51	52	1	client	O	O
51	52	2	smoothed	O	O
51	52	3	down	O	O
51	52	4	his	O	O
51	52	5	unbrushed	B-NEG	B-NEG
51	52	6	hair	O	O
51	52	7	and	O	O
51	52	8	felt	O	O
51	52	9	his	O	O
51	52	10	unshaven	B-NEG	B-NEG
51	52	11	chin	O	O
51	52	12	.	O	O
52	53	0	``	O	O
52	53	1	You	O	O
52	53	2	are	O	O
52	53	3	right	O	O
52	53	4	,	O	O
52	53	5	Mr.	O	O
52	53	6	Holmes	O	O
52	53	7	.	O	O
53	54	0	I	O	O
53	54	1	never	B-NEG	B-NEG
53	54	2	gave	O	O
53	54	3	a	O	O
53	54	4	thought	O	O
53	54	5	to	O	O
53	54	6	my	O	O
53	54	7	toilet	O	O
53	54	8	.	O	O
54	55	0	I	O	O
54	55	1	was	O	O
54	55	2	only	O	O
54	55	3	too	O	O
54	55	4	glad	O	O
54	55	5	to	O	O
54	55	6	get	O	O
54	55	7	out	O	O
54	55	8	of	O	O
54	55	9	such	O	O
54	55	10	a	O	O
54	55	11	house	O	O
54	55	12	.	O	O
55	56	0	But	O	O
55	56	1	I	O	O
55	56	2	have	O	O
55	56	3	been	O	O
55	56	4	running	O	O
55	56	5	round	O	O
55	56	6	making	O	O
55	56	7	inquiries	O	O
55	56	8	before	O	O
55	56	9	I	O	O
55	56	10	came	O	O
55	56	11	to	O	O
55	56	12	you	O	O
55	56	13	.	O	O
56	57	0	I	O	O
56	57	1	went	O	O
56	57	2	to	O	O
56	57	3	the	O	O
56	57	4	house	O	O
56	57	5	agents	O	O
56	57	6	,	O	O
56	57	7	you	O	O
56	57	8	know	O	O
56	57	9	,	O	O
56	57	10	and	O	O
56	57	11	they	O	O
56	57	12	said	O	O
56	57	13	that	O	O
56	57	14	Mr.	O	O
56	57	15	Garcia	O	O
56	57	16	's	O	O
56	57	17	rent	O	O
56	57	18	was	O	O
56	57	19	paid	O	O
56	57	20	up	O	O
56	57	21	all	O	O
56	57	22	right	O	O
56	57	23	and	O	O
56	57	24	that	O	O
56	57	25	everything	O	O
56	57	26	was	O	O
56	57	27	in	O	O
56	57	28	order	O	O
56	57	29	at	O	O
56	57	30	Wisteria	O	O
56	57	31	Lodge	O	O
56	57	32	.	O	O
56	57	33	''	O	O
57	58	0	``	O	O
57	58	1	Come	O	O
57	58	2	,	O	O
57	58	3	come	O	O
57	58	4	,	O	O
57	58	5	sir	O	O
57	58	6	,	O	O
57	58	7	''	O	O
57	58	8	said	O	O
57	58	9	Holmes	O	O
57	58	10	,	O	O
57	58	11	laughing	O	O
57	58	12	.	O	O
58	59	0	``	O	O
58	59	1	You	O	O
58	59	2	are	O	O
58	59	3	like	O	O
58	59	4	my	O	O
58	59	5	friend	O	O
58	59	6	,	O	O
58	59	7	Dr.	O	O
58	59	8	Watson	O	O
58	59	9	,	O	O
58	59	10	who	O	O
58	59	11	has	O	O
58	59	12	a	O	O
58	59	13	bad	O	O
58	59	14	habit	O	O
58	59	15	of	O	O
58	59	16	telling	O	O
58	59	17	his	O	O
58	59	18	stories	O	O
58	59	19	wrong	O	O
58	59	20	end	O	O
58	59	21	foremost	O	O
58	59	22	.	O	O
59	60	0	Please	O	O
59	60	1	arrange	O	O
59	60	2	your	O	O
59	60	3	thoughts	O	O
59	60	4	and	O	O
59	60	5	let	O	O
59	60	6	me	O	O
59	60	7	know	O	O
59	60	8	,	O	O
59	60	9	in	O	O
59	60	10	their	O	O
59	60	11	due	O	O
59	60	12	sequence	O	O
59	60	13	,	O	O
59	60	14	exactly	O	O
59	60	15	what	O	O
59	60	16	those	O	O
59	60	17	events	O	O
59	60	18	are	O	O
59	60	19	which	O	O
59	60	20	have	O	O
59	60	21	sent	O	O
59	60	22	you	O	O
59	60	23	out	O	O
59	60	24	unbrushed	B-NEG	B-NEG
59	60	25	and	O	O
59	60	26	unkempt	B-NEG	B-NEG
59	60	27	,	O	O
59	60	28	with	O	O
59	60	29	dress	O	O
59	60	30	boots	O	O
59	60	31	and	O	O
59	60	32	waistcoat	O	O
59	60	33	buttoned	O	O
59	60	34	awry	O	O
59	60	35	,	O	O
59	60	36	in	O	O
59	60	37	search	O	O
59	60	38	of	O	O
59	60	39	advice	O	O
59	60	40	and	O	O
59	60	41	assistance	O	O
59	60	42	.	O	O
59	60	43	''	O	O
60	61	0	Our	O	O
60	61	1	client	O	O
60	61	2	looked	O	O
60	61	3	down	O	O
60	61	4	with	O	O
60	61	5	a	O	O
60	61	6	rueful	O	O
60	61	7	face	O	O
60	61	8	at	O	O
60	61	9	his	O	O
60	61	10	own	O	O
60	61	11	unconventional	B-NEG	B-NEG
60	61	12	appearance	O	O
60	61	13	.	O	O
61	62	0	``	O	O
61	62	1	I	O	O
61	62	2	'm	O	O
61	62	3	sure	O	O
61	62	4	it	O	O
61	62	5	must	O	O
61	62	6	look	O	O
61	62	7	very	O	O
61	62	8	bad	O	O
61	62	9	,	O	O
61	62	10	Mr.	O	O
61	62	11	Holmes	O	O
61	62	12	,	O	O
61	62	13	and	O	O
61	62	14	I	O	O
61	62	15	am	O	O
61	62	16	not	B-NEG	B-NEG
61	62	17	aware	O	O
61	62	18	that	O	O
61	62	19	in	O	O
61	62	20	my	O	O
61	62	21	whole	O	O
61	62	22	life	O	O
61	62	23	such	O	O
61	62	24	a	O	O
61	62	25	thing	O	O
61	62	26	has	O	O
61	62	27	ever	O	O
61	62	28	happened	O	O
61	62	29	before	O	O
61	62	30	.	O	O
62	63	0	But	O	O
62	63	1	I	O	O
62	63	2	will	O	O
62	63	3	tell	O	O
62	63	4	you	O	O
62	63	5	the	O	O
62	63	6	whole	O	O
62	63	7	queer	O	O
62	63	8	business	O	O
62	63	9	,	O	O
62	63	10	and	O	O
62	63	11	when	O	O
62	63	12	I	O	O
62	63	13	have	O	O
62	63	14	done	O	O
62	63	15	so	O	O
62	63	16	you	O	O
62	63	17	will	O	O
62	63	18	admit	O	O
62	63	19	,	O	O
62	63	20	I	O	O
62	63	21	am	O	O
62	63	22	sure	O	O
62	63	23	,	O	O
62	63	24	that	O	O
62	63	25	there	O	O
62	63	26	has	O	O
62	63	27	been	O	O
62	63	28	enough	O	O
62	63	29	to	O	O
62	63	30	excuse	O	O
62	63	31	me	O	O
62	63	32	.	O	O
62	63	33	''	O	O
63	64	0	But	O	O
63	64	1	his	O	O
63	64	2	narrative	O	O
63	64	3	was	O	O
63	64	4	nipped	O	O
63	64	5	in	O	O
63	64	6	the	O	O
63	64	7	bud	O	O
63	64	8	.	O	O
64	65	0	There	O	O
64	65	1	was	O	O
64	65	2	a	O	O
64	65	3	bustle	O	O
64	65	4	outside	O	O
64	65	5	,	O	O
64	65	6	and	O	O
64	65	7	Mrs.	O	O
64	65	8	Hudson	O	O
64	65	9	opened	O	O
64	65	10	the	O	O
64	65	11	door	O	O
64	65	12	to	O	O
64	65	13	usher	O	O
64	65	14	in	O	O
64	65	15	two	O	O
64	65	16	robust	O	O
64	65	17	and	O	O
64	65	18	official-looking	O	O
64	65	19	individuals	O	O
64	65	20	,	O	O
64	65	21	one	O	O
64	65	22	of	O	O
64	65	23	whom	O	O
64	65	24	was	O	O
64	65	25	well	O	O
64	65	26	known	O	O
64	65	27	to	O	O
64	65	28	us	O	O
64	65	29	as	O	O
64	65	30	Inspector	O	O
64	65	31	Gregson	O	O
64	65	32	of	O	O
64	65	33	Scotland	O	O
64	65	34	Yard	O	O
64	65	35	,	O	O
64	65	36	an	O	O
64	65	37	energetic	O	O
64	65	38	,	O	O
64	65	39	gallant	O	O
64	65	40	,	O	O
64	65	41	and	O	O
64	65	42	,	O	O
64	65	43	within	O	O
64	65	44	his	O	O
64	65	45	limitations	O	O
64	65	46	,	O	O
